product_id,product_name,category,price
1,Product_1,Clothing,1736
2,Product_2,Clothing,3796
3,Product_3,Home,3099
4,Product_4,Books,3252
5,Product_5,Clothing,798
6,Product_6,Home,2260
7,Product_7,Books,4197
8,Product_8,Electronics,4837
9,Product_9,Home,954
10,Product_10,Clothing,3574
11,Product_11,Electronics,1807
12,Product_12,Electronics,2877
13,Product_13,Electronics,1833
14,Product_14,Home,3610
15,Product_15,Clothing,302
16,Product_16,Electronics,3355
17,Product_17,Books,4318
18,Product_18,Electronics,4596
19,Product_19,Electronics,866
20,Product_20,Home,4489
21,Product_21,Home,2427
22,Product_22,Clothing,3031
23,Product_23,Books,297
24,Product_24,Home,2030
25,Product_25,Electronics,3682
26,Product_26,Clothing,708
27,Product_27,Electronics,3372
28,Product_28,Electronics,1247
29,Product_29,Home,4382
30,Product_30,Clothing,3497
31,Product_31,Books,2611
32,Product_32,Books,1894
33,Product_33,Home,759
34,Product_34,Home,2911
35,Product_35,Clothing,1469
36,Product_36,Books,2086
37,Product_37,Books,246
38,Product_38,Books,3319
39,Product_39,Electronics,3011
40,Product_40,Books,1834
41,Product_41,Electronics,1943
42,Product_42,Clothing,588
43,Product_43,Electronics,3076
44,Product_44,Clothing,2059
45,Product_45,Books,2485
46,Product_46,Books,3019
47,Product_47,Clothing,4836
48,Product_48,Home,1902
49,Product_49,Clothing,4161
50,Product_50,Home,3469
